objectid,filename,title,creator,date,description,location,source,identifier,format,Rights,rightsstatement
001.jpg,IMG_5062.JPG,Augie On Outside Chair,"Duffy, Cait",06/21/2024,Augie sunbathing outside the house in her own chair. Her eyes are closed as she enjoys the sunny day and warm weather.,"Oak Forest, Illinois","Duffy, Corey",001.jpg,image/jpeg,"Duffy, Corey","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy"
002.jpg,IMG_0874.jpeg,Augie Next to Dad,"Duffy, Cait",06/07/2023,"Augie sitting on a chair next to my dad, who is scrolling on his Ipad. Augie is contently sitting and watching what is in front of her.","Oak Forest, Illinois",,002.jpg,image/jpeg,"Duffy, Kimberly","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy"
003.jpg,IMG_6602.jpg,Augie Laying on Front Porch,"Duffy, Cait",04/12/2025,"Augie laying down on front porch of our home. She is leashed, and enjoyed watching neighbors and cars walking by.","Oak Forest, Illinois",,003.jpg,image/jpeg,"Duffy, Kimberly","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy"
004.jpg,Resized_20250216_132553_1739744643957.jpg,Augie Curled in Corner of Her Bed,"Duffy, Cait",02/16/2025,Augie curled up in her gray bed. She is looking up at the camera.,"Oak Forest, Illinois",,004.jpg,image/jpeg,"Duffy, Corey","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy"
005.jpg,Resized_20231224_153648_1703454840530.JPG,Augie With Grandpa,"Duffy, Cait",12/24/2023,Augie laying next to grandpa on Christmas Eve. She is wearing a gray sweater and is cuddled up next to him on the recliner,"Oak Forest, Illinois",,005.jpg,image/jpeg,"Duffy, Cait","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy"
006.jpg,IMG_7905.jpg,Augie Laying in Sweater,"Duffy, Cait",10/14/2023,"Augie laying down in one of Cait's sweaters. Her paws are outstretched in the sleeves, making her paws hidden","Oak Forest, Illinois",,006.jpg,image/jpeg,"Duffy, Cait","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy"
007.jpg,IMG_7601.jpg,Augie Sitting on Chair with Bone,"Duffy, Cait",07/18/2023,Augie sitting on the gray recliner with one of her bones in her mouth. She looks very happy.,"Oak Forest, Illinois",,007.jpg,image/jpeg,"Duffy, Cait","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy"
008.jpg,Resized_20230511_221844.JPG,Augie on Corey's Bed,"Duffy, Cait",05/11/2023,Augie laying on Corey's bed. Her paws are spread out as she rests. Her tongue is visable.,"Oak Forest, Illinois",,008.jpg,image/jpeg,"Duffy, Corey","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy"
009.jpg,IMG_7050.jpg,Augie Covered in Blankets,"Duffy, Cait",04/21/2023,Augie is covered in a black blanket in Cait's room. Only her face is visibile under the pile.,"Oak Forest, Illinois",,009.jpg,image/jpeg,"Duffy, Patrick","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy"
010.jpg,Resized_20220926_172424.JPG,Augie Outside Holding Ball,"Duffy, Cait",09/26/2022,Augie is outside laying down. An orange ball is present under her left paw. She is smiling,"Oak Forest, Illinois",,010.jpg,image/jpeg,"Duffy, KImberly","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy"
011.jpg,Resized_20211224_154120.jpg,Augie wearing Antlers and Red Sweater,"Duffy, Cait",12/24/2021,"Augie wearing antlers and a red sweater laying on the floor. Her eyes seemed to be closed, sleeping","Oak Forest, Illinois",,011.jpg,image/jpeg,"Duffy, Kimberly","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy"
012.jpg,71094762996__6975B0AF-412A-4903-8ED9-BB22548464AF.jpg,Augie on Gray Blanket,"Duffy, Cait",11/1/2021,"Augie curled up on the top of the couch, on a gray blanket. She looks sleepy.","Oak Forest, Illinois",,012.jpg,image/jpeg,"Duffy, Patrick","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy"
013.jpg,Resized_20210829_154702.jpg,Augie Asleep in Car,"Duffy, Cait",09/21/2021,Augie asleep on car median. Her paws are tucked under her.,"Rock Island, Illinois",,013.jpg,image/jpeg,"Duffy, Kimberly","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy"
014.jpg,Copy of Resized_20210725_151352.jpg,Augie Laying in Front Room,"Duffy, Cait",07/25/2021,Augie laying in front room. She is by a desk but facing the windows nearby.,"Oak Forest, Illinois",,014.jpg,image/jpeg,"Duffy, Kimberly","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy"
015.jpg,IMG_2597.JPG,Augie Hiding Face,"Duffy, Cait",11/22/2020,Augie asleep with her paws around fer face. She is on a gray blanket,"Oak Forest, Illinois",,015.jpg,image/jpeg,"Duffy, Patrick","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy"
